model,region,scenario,unit,variable,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,World,ssp370,kt HFC125 / yr,Emissions|HFC125,78.7906,154.436,212.359,251.942,282.003,299.827,318.903,340.664,358.674,380.637
AIM/CGE,World,ssp370,kt HFC134a / yr,Emissions|HFC134a,201.953,233.568,199.087,192.274,201.091,203.605,213.08,232.341,254.878,280.733
AIM/CGE,World,ssp370,kt HFC143a / yr,Emissions|HFC143a,32.381,56.2473,76.1049,93.6298,106.882,114.293,123.598,133.43,140.363,148.953
AIM/CGE,World,ssp370,kt HFC152a / yr,Emissions|HFC152a,55.8814,55.494,35.0376,27.9348,25.7419,23.5908,22.5361,22.6016,23.0128,23.8708
AIM/CGE,World,ssp370,kt HFC227ea / yr,Emissions|HFC227ea,3.6633,4.9607,5.0732,5.0839,5.2332,4.8597,4.5803,4.468,4.3956,4.4005
AIM/CGE,World,ssp370,kt HFC23 / yr,Emissions|HFC23,14.4857,2.3552,0.5274,0.3183,0.1603,0.0845,0.0439,0.0227,0.0116,0.0
AIM/CGE,World,ssp370,kt HFC236fa / yr,Emissions|HFC236fa,0.2604,0.4195,0.5602,0.6967,0.8195,0.9076,1.0009,1.1037,1.1994,1.3028
AIM/CGE,World,ssp370,kt HFC245fa / yr,Emissions|HFC245fa,11.7285,18.8947,25.2314,31.3812,36.9111,40.8775,45.0797,49.7112,54.0197,58.6784
AIM/CGE,World,ssp370,kt HFC32 / yr,Emissions|HFC32,38.5792,6.2725,1.4046,0.8477,0.4269,0.225,0.1169,0.0605,0.0309,0.0
AIM/CGE,World,ssp370,kt HFC365mfc / yr,Emissions|HFC365mfc,4.6492,5.377,4.5833,4.4264,4.6293,4.6872,4.9053,5.3487,5.8676,6.4628
AIM/CGE,World,ssp370,kt HFC4310mee / yr,Emissions|HFC4310mee,1.1516,1.1436,0.7221,0.5757,0.5305,0.4862,0.4644,0.4658,0.4742,0.4919
AIM/CGE,World,ssp370,kt Halon1202 / yr,Emissions|Halon1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIM/CGE,World,ssp370,kt Halon1211 / yr,Emissions|Halon1211,3.2933,2.1847,0.9614,0.4231,0.1862,0.0819,0.0361,0.0159,0.007,0.008
AIM/CGE,World,ssp370,kt Halon1301 / yr,Emissions|Halon1301,1.3378,1.1071,0.7583,0.5193,0.3557,0.2436,0.1668,0.1143,0.0783,0.0536
AIM/CGE,World,ssp370,kt Halon2402 / yr,Emissions|Halon2402,0.3481,0.279,0.1793,0.1153,0.0741,0.0476,0.0306,0.0197,0.0126,0.0081
AIM/CGE,World,ssp370,kt N2O / yr,Emissions|N2O,10900.0,11774.9,13291.8,14526.6,15634.9,16638.0,17624.3,18581.1,19626.8,20654.1
AIM/CGE,World,ssp370,kt NF3 / yr,Emissions|NF3,1.3581,1.4239,1.4677,1.4745,1.4418,1.4427,1.4546,1.4784,1.5349,1.6123
AIM/CGE,World,ssp370,kt SF6 / yr,Emissions|SF6,8.02,8.4088,8.6672,8.7075,8.5142,8.5193,8.5895,8.7306,9.0644,9.5213
AIM/CGE,World,ssp370,kt SO2F2 / yr,Emissions|SO2F2,2.5317,2.9699,2.4054,2.044,1.8128,1.6649,1.5702,1.5095,1.4018,1.4018
AIM/CGE,World,ssp370,kt cC4F8 / yr,Emissions|cC4F8,1.2672,1.4866,1.2038,1.0231,0.9074,0.8332,0.7858,0.7557,0.7017,0.7017
