Year,Country,Fuels_Coal,Fuels_Oil,Fuels_Gas,Fuels_Cement,Fuels_Flaring,Fuels_Bunkers,Fuels_Total
1889,World,314.94899931933,7.75752775633495,3.337,0.0001588183514502,0.0,0.0,326.0436858940164
1890,World,342.250688239038,9.46153514368393,3.18997090690209,0.0001815066873716,0.0,0.0,354.90237579631145
1891,World,358.066703534921,11.147818398797,2.442,0.0001865614671083,0.0,0.0,371.65670849518506
1892,World,361.462511301196,10.9776480250583,2.122,0.0001987185354567,0.0,0.0,374.5623580447897
1893,World,356.338497636731,11.6170098810203,1.989,0.0001815626594964,0.0,0.0,369.9446890804108
1894,World,369.70422775342,11.3876445323274,1.82801575780563,0.0001897254236175,0.0,0.0,382.9200777689767
1895,World,390.78402806029,13.252406667132,1.92198532723622,0.0001981009589529,0.0,0.0,405.9586181556171
1896,World,403.091253570553,14.3533030384015,1.86898575956601,0.0002158448712037,0.0,0.0,419.3137582133917
1897,World,422.049433340452,15.16208600749,1.98898543305357,0.0002493326281404,0.0,0.0,439.20075411362376
1898,World,445.280352455836,15.6108126057787,2.309,0.0002747831555186,0.0,0.0,463.20043984477024
1899,World,486.554635386654,16.3940177737616,2.976,0.0003521330698105,0.0,0.0,505.9250052934854
1900,World,511.277091470116,18.3807931540237,3.15,0.0003806282658234,0.0,0.0,532.8082652524055
1901,World,526.50129257248,20.4097808298611,3.51,0.0004547544987587,0.0,0.0,550.4215281568398
1902,World,538.522319639955,22.063313059361,3.738,0.0005889769419972,0.0,0.0,564.324221676258
1903,World,587.872635648176,23.363674760564,3.965,0.0006955369519487,0.0,0.0,615.202005945692
1904,World,591.325308957841,26.2362856841528,4.13898300166899,0.0007501659975621,0.0,0.0,621.7013278096604
1905,World,630.754067359519,26.4961814511669,4.686,0.0009585714754469,0.0,0.0,661.9372073821613
1906,World,659.283373945684,26.7358502156935,5.193,0.001227428174329,0.0,0.0,691.2134515895518
1907,World,749.692141575855,32.6174710664933,5.42498346971378,0.0012635256617087,0.0,0.0,787.7358596377237
1908,World,716.685298062202,35.1749918183335,5.37,0.0314969968574603,0.0,0.0,757.261786877393
1909,World,745.099731260761,36.6985935218755,6.41999942987457,0.0315613087314052,0.0,0.0,788.2498855212425
1910,World,781.250804125059,39.3529114604793,6.8,0.0369546787456433,0.0,0.0,827.4406702642838
1911,World,791.057435811076,41.7379867178229,7.01901021400778,0.0404135786740636,0.0,0.0,839.8548463215807
